date,value,gold_change
2017-08-01,1270.95,
2017-08-02,1269.6,-0.10621975687479246
2017-08-03,1268.1,-0.11814744801512678
2017-08-04,1257.7,-0.8201245958520564
2017-08-05,1257.7,0.0
2017-08-06,1257.7,0.0
2017-08-07,1258.0,0.023853065118872863
2017-08-08,1261.8,0.3020667726550075
2017-08-09,1271.05,0.7330797273735978
2017-08-10,1284.4,1.0503127335667497
2017-08-11,1286.1,0.13235752102147558
2017-08-12,1286.1,0.0
2017-08-13,1286.1,0.0
2017-08-14,1282.3,-0.2954669154809131
2017-08-15,1270.3,-0.9358184512204604
2017-08-16,1272.75,0.192867826497678
2017-08-17,1285.15,0.9742683166372056
2017-08-18,1295.8,0.8286970392560988
2017-08-19,1295.8,0.0
2017-08-20,1295.8,0.0
2017-08-21,1292.9,-0.22379996913103328
2017-08-22,1284.2,-0.6729058705236324
2017-08-23,1286.65,0.19078025229715131
2017-08-24,1289.0,0.18264485291259455
2017-08-25,1285.3,-0.2870442203258383
2017-08-26,1285.3,0.0
2017-08-27,1285.3,0.0
2017-08-28,1285.3,0.0
2017-08-29,1318.65,2.5947249669338035
2017-08-30,1308.5,-0.7697266143404269
2017-08-31,1311.75,0.2483760030569382
2017-09-01,1320.4,0.6594244330093479
2017-09-02,1320.4,0.0
2017-09-03,1320.4,0.0
2017-09-04,1333.1,0.9618297485610272
2017-09-05,1335.55,0.183782161878332
2017-09-06,1337.85,0.1722136947325037
2017-09-07,1343.5,0.4223193930560365
2017-09-08,1346.25,0.204689244510603
2017-09-09,1346.25,0.0
2017-09-10,1346.25,0.0
2017-09-11,1334.2,-0.8950789229340672
2017-09-12,1326.5,-0.5771248688352659
2017-09-13,1327.55,0.07915567282321677
2017-09-14,1324.55,-0.2259801890700963
2017-09-15,1322.85,-0.1283454758219782
2017-09-16,1322.85,0.0
2017-09-17,1322.85,0.0
2017-09-18,1312.1,-0.8126393771024643
2017-09-19,1309.6,-0.19053425805959368
2017-09-20,1311.3,0.12981062919976696
2017-09-21,1292.1,-1.464195836193094
2017-09-22,1294.8,0.20896215463199752
2017-09-23,1294.8,0.0
2017-09-24,1294.8,0.0
2017-09-25,1293.3,-0.11584800741427648
2017-09-26,1300.05,0.5219206680584509
2017-09-27,1282.55,-1.3461020729971906
2017-09-28,1283.35,0.06237573583876
2017-09-29,1283.1,-0.019480266490046198
2017-09-30,1283.1,0.0
2017-10-01,1283.1,0.0
2017-10-02,1273.7,-0.7326007326007189
2017-10-03,1271.25,-0.19235298735966744
2017-10-04,1274.25,0.2359882005899649
2017-10-05,1274.5,0.01961938395134144
2017-10-06,1261.8,-0.9964692036092626
2017-10-07,1261.8,0.0
2017-10-08,1261.8,0.0
2017-10-09,1278.75,1.3433190679980944
2017-10-10,1291.4,0.9892473118279675
2017-10-11,1289.25,-0.16648598420320182
2017-10-12,1290.25,0.07756447547022649
2017-10-13,1299.6,0.7246657624491393
2017-10-14,1299.6,0.0
2017-10-15,1299.6,0.0
2017-10-16,1303.3,0.2847029855340244
2017-10-17,1284.75,-1.4233100590807957
2017-10-18,1280.2,-0.3541545047674566
2017-10-19,1286.4,0.4842993282299757
2017-10-20,1281.2,-0.4042288557214002
2017-10-21,1281.2,0.0
2017-10-22,1281.2,0.0
2017-10-23,1274.9,-0.4917265064002474
2017-10-24,1276.45,0.12157816299316335
2017-10-25,1275.0,-0.1135963022445119
2017-10-26,1273.75,-0.09803921568627416
2017-10-27,1266.45,-0.5731108930323803
2017-10-28,1266.45,0.0
2017-10-29,1266.45,0.0
2017-10-30,1272.0,0.43823285562003533
2017-10-31,1270.15,-0.14544025157231522
2017-11-01,1277.05,0.5432429240640689
2017-11-02,1279.2,0.1683567597196678
2017-11-03,1267.2,-0.9380863039399668
2017-11-04,1267.2,0.0
2017-11-05,1267.2,0.0
2017-11-06,1270.9,0.29198232323233153
2017-11-07,1275.6,0.3698166653552493
2017-11-08,1284.0,0.6585136406397131
2017-11-09,1284.8,0.062305295950149116
2017-11-10,1284.3,-0.03891656288916856
2017-11-11,1284.3,0.0
2017-11-12,1284.3,0.0
2017-11-13,1277.95,-0.4944327649303082
2017-11-14,1274.6,-0.2621385813216581
2017-11-15,1282.2,0.596265495057291
2017-11-16,1280.0,-0.17158009670878993
2017-11-17,1284.35,0.3398437500000018
2017-11-18,1284.35,0.0
2017-11-19,1284.35,0.0
2017-11-20,1286.2,0.14404173317243973
2017-11-21,1283.3,-0.225470377857262
2017-11-22,1286.95,0.2844229720252445
2017-11-23,1290.35,0.2641905279925361
2017-11-24,1290.5,0.011624752974004338
2017-11-25,1290.5,0.0
2017-11-26,1290.5,0.0
2017-11-27,1294.9,0.3409531189461523
2017-11-28,1291.85,-0.2355394238937492
2017-11-29,1283.85,-0.6192669427565134
2017-11-30,1280.2,-0.2843011255208805
2017-12-01,1275.5,-0.3671301359162715
2017-12-02,1275.5,0.0
2017-12-03,1275.5,0.0
2017-12-04,1273.45,-0.16072128577028222
2017-12-05,1266.3,-0.5614668813066936
2017-12-06,1263.7,-0.2053225933822844
2017-12-07,1255.0,-0.6884545382606633
2017-12-08,1250.65,-0.3466135458167208
2017-12-09,1250.65,0.0
2017-12-10,1250.65,0.0
2017-12-11,1247.15,-0.2798544756726473
2017-12-12,1240.9,-0.501142605139715
2017-12-13,1242.65,0.1410266741880939
2017-12-14,1251.0,0.6719510723051547
2017-12-15,1254.6,0.2877697841726645
2017-12-16,1254.6,0.0
2017-12-17,1254.6,0.0
2017-12-18,1260.6,0.4782400765184214
2017-12-19,1260.35,-0.019831826114546924
2017-12-20,1264.55,0.3332407664537573
2017-12-21,1264.55,0.0
2017-12-22,1264.55,0.0
2017-12-23,1264.55,0.0
2017-12-24,1264.55,0.0
2017-12-25,1264.55,0.0
2017-12-26,1264.55,0.0
2017-12-27,1279.4,1.1743307896089572
2017-12-28,1291.0,0.9066750039080641
2017-12-29,1291.0,0.0
2017-12-30,1291.0,0.0
2017-12-31,1291.0,0.0
2018-01-01,1291.0,0.0
2018-01-02,1312.05,1.630518977536788
2018-01-03,1314.9,0.21721733165658288
2018-01-04,1314.5,-0.030420564301469888
2018-01-05,1317.15,0.20159756561430875
2018-01-06,1317.15,0.0
2018-01-07,1317.15,0.0
2018-01-08,1319.95,0.2125801920813908
2018-01-09,1311.0,-0.678055986969206
2018-01-10,1319.75,0.6674294431731509
2018-01-11,1323.05,0.25004735745406403
2018-01-12,1326.8,0.28343600015117154
2018-01-13,1326.8,0.0
2018-01-14,1326.8,0.0
2018-01-15,1339.25,0.9383479047331944
2018-01-16,1333.85,-0.4032107522867312
2018-01-17,1335.65,0.1349477077632555
2018-01-18,1332.2,-0.25830120166211445
2018-01-19,1334.95,0.20642546164240105
2018-01-20,1334.95,0.0
2018-01-21,1334.95,0.0
2018-01-22,1332.6,-0.1760365556762511
2018-01-23,1333.4,0.060033018159999514
2018-01-24,1353.7,1.5224238788060562
2018-01-25,1354.95,0.09233951392479957
2018-01-26,1353.15,-0.13284623048820388
2018-01-27,1353.15,0.0
2018-01-28,1353.15,0.0
2018-01-29,1343.85,-0.6872852233677063
2018-01-30,1344.9,0.07813372028129263
2018-01-31,1345.05,0.011153245594464069
2018-02-01,1341.35,-0.2750827106799081
2018-02-02,1331.15,-0.7604279270883696
2018-02-03,1331.15,0.0
2018-02-04,1331.15,0.0
2018-02-05,1333.6,0.1840513841415259
2018-02-06,1331.4,-0.1649670065986708
2018-02-07,1324.65,-0.5069851284362326
2018-02-08,1315.45,-0.6945230815687209
2018-02-09,1314.1,-0.10262647763124022
2018-02-10,1314.1,0.0
2018-02-11,1314.1,0.0
2018-02-12,1322.3,0.6240012175633636
2018-02-13,1325.35,0.2306587007486982
2018-02-14,1336.25,0.8224242652884239
2018-02-15,1352.45,1.2123479887745647
2018-02-16,1352.1,-0.02587896040520121
2018-02-17,1352.1,0.0
2018-02-18,1352.1,0.0
2018-02-19,1346.6,-0.4067746468456424
2018-02-20,1339.85,-0.5012624387345954
2018-02-21,1330.5,-0.6978393103705516
2018-02-22,1328.35,-0.16159338594513573
2018-02-23,1327.95,-0.03011254563931587
2018-02-24,1327.95,0.0
2018-02-25,1327.95,0.0
2018-02-26,1333.5,0.4179374223427068
2018-02-27,1325.75,-0.5811773528308972
2018-02-28,1317.85,-0.5958891193663995
2018-03-01,1307.75,-0.7663998178851883
2018-03-02,1322.3,1.1125979736188008
2018-03-03,1322.3,0.0
2018-03-04,1322.3,0.0
2018-03-05,1320.4,-0.14368902669590344
2018-03-06,1331.4,0.8330808845804283
2018-03-07,1329.4,-0.15021781583295368
2018-03-08,1321.0,-0.6318639987964558
2018-03-09,1320.6,-0.030280090840284487
2018-03-10,1320.6,0.0
2018-03-11,1320.6,0.0
2018-03-12,1319.15,-0.10979857640465164
2018-03-13,1322.75,0.27290300572337944
2018-03-14,1323.55,0.06048006048005039
2018-03-15,1318.75,-0.3626610252729368
2018-03-16,1310.1,-0.6559241706161179
2018-03-17,1310.1,0.0
2018-03-18,1310.1,0.0
2018-03-19,1312.4,0.17555911762461296
2018-03-20,1311.0,-0.10667479427004524
2018-03-21,1321.35,0.7894736842105177
2018-03-22,1329.15,0.5903053695084814
2018-03-23,1346.6,1.3128691268855963
2018-03-24,1346.6,0.0
2018-03-25,1346.6,0.0
2018-03-26,1352.4,0.4307143918015788
2018-03-27,1341.45,-0.8096716947648686
2018-03-28,1332.45,-0.6709158000670956
2018-03-29,1323.85,-0.6454275957822109
2018-03-30,1323.85,0.0
2018-03-31,1323.85,0.0
2018-04-01,1323.85,0.0
2018-04-02,1323.85,0.0
2018-04-03,1333.45,0.7251576840276552
2018-04-04,1337.3,0.2887247365855439
2018-04-05,1327.7,-0.7178643535481921
2018-04-06,1331.2,0.2636137681705231
2018-04-07,1331.2,0.0
2018-04-08,1331.2,0.0
2018-04-09,1331.95,0.05634014423077094
2018-04-10,1338.95,0.5255452532001881
2018-04-11,1350.75,0.8812875760857428
2018-04-12,1341.35,-0.6959096798075161
2018-04-13,1343.7,0.17519663026057675
2018-04-14,1343.7,0.0
2018-04-15,1343.7,0.0
2018-04-16,1349.35,0.4204807620748596
2018-04-17,1342.1,-0.5372957349835117
2018-04-18,1351.45,0.6966693987035422
2018-04-19,1348.6,-0.2108846054238112
2018-04-20,1336.75,-0.8786890108260392
2018-04-21,1336.75,0.0
2018-04-22,1336.75,0.0
2018-04-23,1324.3,-0.931363381335326
2018-04-24,1328.85,0.3435777391829653
2018-04-25,1321.65,-0.5418218760582351
2018-04-26,1320.7,-0.07187984716074958
2018-04-27,1321.5,0.06057393806313537
2018-04-28,1321.5,0.0
2018-04-29,1321.5,0.0
2018-04-30,1313.2,-0.6280741581536131
2018-05-01,1307.1,-0.4645141638745187
2018-05-02,1304.2,-0.22186519776603572
2018-05-03,1315.05,0.8319276184634239
2018-05-04,1309.4,-0.4296414584996633
2018-05-05,1309.4,0.0
2018-05-06,1309.4,0.0
2018-05-07,1309.4,0.0
2018-05-08,1306.6,-0.21383839926685244
2018-05-09,1313.85,0.5548752487371855
2018-05-10,1318.8,0.37675533736727385
2018-05-11,1324.35,0.4208371246587683
2018-05-12,1324.35,0.0
2018-05-13,1324.35,0.0
2018-05-14,1319.85,-0.3397893306150146
2018-05-15,1295.0,-1.882789710951993
2018-05-16,1291.25,-0.2895752895752945
2018-05-17,1289.5,-0.13552758954501476
2018-05-18,1288.3,-0.09305932531989967
2018-05-19,1288.3,0.0
2018-05-20,1288.3,0.0
2018-05-21,1288.35,0.0038810835985447776
2018-05-22,1293.05,0.3648076997710304
2018-05-23,1289.0,-0.31321294613509965
2018-05-24,1304.85,1.2296353762606629
2018-05-25,1303.5,-0.1034601678353786
2018-05-26,1303.5,0.0
2018-05-27,1303.5,0.0
2018-05-28,1303.5,0.0
2018-05-29,1295.5,-0.6137322593018801
2018-05-30,1300.7,0.4013894249324633
2018-05-31,1305.35,0.3574998077958025
2018-06-01,1294.6,-0.8235339181062562
2018-06-02,1294.6,0.0
2018-06-03,1294.6,0.0
2018-06-04,1295.45,0.06565734589836225
2018-06-05,1292.05,-0.2624570612528521
2018-06-06,1300.1,0.6230409039897911
2018-06-07,1297.25,-0.2192139066225618
2018-06-08,1298.25,0.07708614376564782
2018-06-09,1298.25,0.0
2018-06-10,1298.25,0.0
2018-06-11,1299.6,0.10398613518196598
2018-06-12,1298.65,-0.07309941520466934
2018-06-13,1296.15,-0.1925076040503626
2018-06-14,1302.75,0.5092003240365628
2018-06-15,1285.25,-1.3433122241412354
2018-06-16,1285.25,0.0
2018-06-17,1285.25,0.0
2018-06-18,1281.55,-0.287881735071005
2018-06-19,1276.15,-0.4213647536186582
2018-06-20,1274.2,-0.15280335383771604
2018-06-21,1266.15,-0.6317689530685899
2018-06-22,1269.15,0.23693875133277145
2018-06-23,1269.15,0.0
2018-06-24,1269.15,0.0
2018-06-25,1268.7,-0.03545680179648514
2018-06-26,1260.3,-0.6620950579333207
2018-06-27,1254.6,-0.4522732682694652
2018-06-28,1251.55,-0.2431053722301901
2018-06-29,1250.45,-0.08789101514121711
2018-06-30,1250.45,0.0
2018-07-01,1250.45,0.0
2018-07-02,1247.8,-0.2119237074653224
2018-07-03,1251.75,0.31655714056739725
2018-07-04,1255.65,0.3115638106650831
2018-07-05,1255.5,-0.011946004061647031
2018-07-06,1255.35,-0.011947431302272715
2018-07-07,1255.35,0.0
2018-07-08,1255.35,0.0
2018-07-09,1262.05,0.533715696817616
2018-07-10,1254.0,-0.6378511152489996
2018-07-11,1251.4,-0.20733652312598935
2018-07-12,1245.9,-0.43950775131852415
2018-07-13,1241.7,-0.33710570671804385
2018-07-14,1241.7,0.0
2018-07-15,1241.7,0.0
2018-07-16,1241.1,-0.0483208504469812
2018-07-17,1232.8,-0.6687615824671589
2018-07-18,1224.5,-0.673264114211547
2018-07-19,1217.55,-0.5675786035116426
2018-07-20,1228.75,0.9198800870600764
2018-07-21,1228.75,0.0
2018-07-22,1228.75,0.0
2018-07-23,1224.95,-0.3092573753814776
2018-07-24,1228.35,0.2775623494836399
2018-07-25,1231.5,0.2564415679570331
2018-07-26,1228.25,-0.2639058059277333
2018-07-27,1223.95,-0.3500915937309168
2018-07-28,1223.95,0.0
2018-07-29,1223.95,0.0
2018-07-30,1223.8,-0.012255402589977926
2018-07-31,1220.95,-0.2328811897368777
2018-08-01,1219.0,-0.1597116999058179
2018-08-02,1215.45,-0.2912223133716085
2018-08-03,1216.3,0.06993294664525695
2018-08-04,1216.3,0.0
2018-08-05,1216.3,0.0
2018-08-06,1209.65,-0.5467401134588434
2018-08-07,1212.35,0.22320505931465728
2018-08-08,1209.55,-0.23095640697817774
2018-08-09,1214.35,0.3968418006696561
2018-08-10,1214.4,0.004117429077288293
2018-08-11,1214.4,0.0
2018-08-12,1214.4,0.0
2018-08-13,1200.35,-1.1569499341238632
2018-08-14,1197.0,-0.2790852667971744
2018-08-15,1182.0,-1.2531328320802062
2018-08-16,1180.4,-0.135363790186116
2018-08-17,1178.4,-0.1694340901389313
2018-08-18,1178.4,0.0
2018-08-19,1178.4,0.0
2018-08-20,1184.35,0.5049219280379935
2018-08-21,1190.95,0.5572676995820647
2018-08-22,1196.65,0.4786095134136748
2018-08-23,1192.35,-0.3593364810094979
2018-08-24,1197.7,0.4486937560280291
2018-08-25,1197.7,0.0
2018-08-26,1197.7,0.0
2018-08-27,1197.7,0.0
2018-08-28,1212.25,1.2148284211405125
2018-08-29,1204.2,-0.6640544442153007
2018-08-30,1197.3,-0.5729945191828678
2018-08-31,1202.45,0.4301344692224207
2018-09-01,1202.45,0.0
2018-09-02,1202.45,0.0
2018-09-03,1200.05,-0.19959249864860415
2018-09-04,1190.85,-0.7666347235531945
2018-09-05,1196.7,0.4912457488348787
2018-09-06,1205.15,0.7061084649452765
2018-09-07,1198.9,-0.5186076422022179
2018-09-08,1198.9,0.0
2018-09-09,1198.9,0.0
2018-09-10,1196.6,-0.1918425223121356
2018-09-11,1189.85,-0.564098278455627
2018-09-12,1195.6,0.4832541917048294
2018-09-13,1209.8,1.1876881900301228
2018-09-14,1201.95,-0.6488675814184108
2018-09-15,1201.95,0.0
2018-09-16,1201.95,0.0
2018-09-17,1201.9,-0.004159906818079762
2018-09-18,1200.2,-0.14144271570014633
2018-09-19,1203.3,0.2582902849525004
2018-09-20,1208.35,0.4196792154907314
2018-09-21,1198.7,-0.7986096743493043
2018-09-22,1198.7,0.0
2018-09-23,1198.7,0.0
2018-09-24,1202.75,0.33786602152330314
2018-09-25,1201.9,-0.07067137809186885
2018-09-26,1194.25,-0.6364922206506418
2018-09-27,1185.4,-0.7410508687460626
2018-09-28,1187.25,0.1560654631348024
2018-09-29,1187.25,0.0
2018-09-30,1187.25,0.0
2018-10-01,1189.35,0.17687934301957586
2018-10-02,1204.7,1.2906209273973346
2018-10-03,1201.2,-0.29052876234747504
2018-10-04,1203.45,0.18731268731269068
2018-10-05,1203.8,0.029083052889600225
2018-10-06,1203.8,0.0
2018-10-07,1203.8,0.0
2018-10-08,1186.95,-1.3997341751121328
2018-10-09,1185.55,-0.1179493660221631
2018-10-10,1188.6,0.2572645607523905
2018-10-11,1205.55,1.4260474507824306
2018-10-12,1219.75,1.177885612376106
2018-10-13,1219.75,0.0
2018-10-14,1219.75,0.0
2018-10-15,1229.95,0.836236933797907
2018-10-16,1230.7,0.06097808854017561
2018-10-17,1229.05,-0.1340700414398377
2018-10-18,1223.0,-0.4922501118750256
2018-10-19,1227.85,0.3965658217497836
2018-10-20,1227.85,0.0
2018-10-21,1227.85,0.0
2018-10-22,1222.3,-0.4520096102944127
2018-10-23,1235.95,1.11674711609262
2018-10-24,1230.55,-0.436910878271779
2018-10-25,1230.8,0.02031611880866091
2018-10-26,1233.85,0.24780630484237956
2018-10-27,1233.85,0.0
2018-10-28,1233.85,0.0
2018-10-29,1230.8,-0.24719374316164444
2018-10-30,1225.4,-0.43873903152420457
2018-10-31,1214.95,-0.8527827648114883
2018-11-01,1231.15,1.3333882052759316
2018-11-02,1232.1,0.07716362750271878
2018-11-03,1232.1,0.0
2018-11-04,1232.1,0.0
2018-11-05,1232.25,0.0121743364986715
2018-11-06,1231.6,-0.05274903631569128
2018-11-07,1229.95,-0.1339720688535162
2018-11-08,1224.15,-0.4715638847107573
2018-11-09,1211.4,-1.0415390270800184
2018-11-10,1211.4,0.0
2018-11-11,1211.4,0.0
2018-11-12,1205.55,-0.48291233283804796
2018-11-13,1202.1,-0.2861764339927908
2018-11-14,1203.25,0.09566591797687264
2018-11-15,1211.85,0.7147309370455046
2018-11-16,1222.4,0.8705697899905163
2018-11-17,1222.4,0.0
2018-11-18,1222.4,0.0
2018-11-19,1221.6,-0.06544502617802372
2018-11-20,1223.0,0.11460379829733025
2018-11-21,1226.1,0.253475061324604
2018-11-22,1227.05,0.07748144523285205
2018-11-23,1223.65,-0.2770873232549542
2018-11-24,1223.65,0.0
2018-11-25,1223.65,0.0
2018-11-26,1223.4,-0.02043067870715065
2018-11-27,1221.2,-0.17982671244074488
2018-11-28,1213.25,-0.6509990173599767
2018-11-29,1226.25,1.0715021636101385
2018-11-30,1217.55,-0.7094801223241576
2018-12-01,1217.55,0.0
2018-12-02,1217.55,0.0
2018-12-03,1230.3,1.0471849205371475
2018-12-04,1240.3,0.8128098837681952
2018-12-05,1235.9,-0.3547528823671597
2018-12-06,1242.55,0.5380694230924687
2018-12-07,1243.3,0.060359744074678374
2018-12-08,1243.3,0.0
2018-12-09,1243.3,0.0
2018-12-10,1245.35,0.16488377704495516
2018-12-11,1245.3,-0.00401493556028143
2018-12-12,1245.75,0.036135870874498544
2018-12-13,1242.75,-0.2408187838651377
2018-12-14,1235.35,-0.595453631060161
2018-12-15,1235.35,0.0
2018-12-16,1235.35,0.0
2018-12-17,1241.65,0.5099769296150969
2018-12-18,1246.3,0.37450167116335203
2018-12-19,1255.0,0.6980662761774781
2018-12-20,1259.75,0.3784860557768832
2018-12-21,1258.15,-0.1270093272474626
2018-12-22,1258.15,0.0
2018-12-23,1258.15,0.0
2018-12-24,1258.15,0.0
2018-12-25,1258.15,0.0
2018-12-26,1258.15,0.0
2018-12-27,1268.0,0.7828955212017652
2018-12-28,1279.0,0.8675078864353258
2018-12-29,1279.0,0.0
2018-12-30,1279.0,0.0
2018-12-31,1279.0,0.0
2019-01-01,1279.0,0.0
2019-01-02,1282.9,0.3049257232212721
2019-01-03,1290.45,0.5885104061111424
2019-01-04,1279.9,-0.8175442675035782
2019-01-05,1279.9,0.0
2019-01-06,1279.9,0.0
2019-01-07,1292.2,0.9610125791077452
2019-01-08,1286.45,-0.4449775576536141
2019-01-09,1288.6,0.1671265886742379
2019-01-10,1291.9,0.2560918826633785
2019-01-11,1288.95,-0.2283458472017941
2019-01-12,1288.95,0.0
2019-01-13,1288.95,0.0
2019-01-14,1292.75,0.29481360797547485
2019-01-15,1294.4,0.12763488686908794
2019-01-16,1292.3,-0.16223733003709606
2019-01-17,1290.7,-0.12381026077535885
2019-01-18,1284.2,-0.5036026962113582
2019-01-19,1284.2,0.0
2019-01-20,1284.2,0.0
2019-01-21,1279.55,-0.3620931319109233
